genre,id,name,sinopsis,tags,rawg_id,released,rating,ratings_count,background_image,is_nintendo_switch
Adventure,335,Oxenfree,"Oxenfree is an adventure game for the Nintendo Switch. It is ranked #648 on the all-time Top Rated Switch games,  with a total of 6 reviews  and an average score of 8.17.","['Supernatural', 'Full controller support', 'Вид сбоку', 'Симулятор ходьбы', 'Приключение', 'Тайна', 'Short', 'Multiple Endings', '2.5D', 'Story Rich', 'Глубокий сюжет', 'Steam Cloud', 'Exploration', 'Horror', 'Короткая', 'achievements', 'Сверхъестественное', 'Singleplayer', 'Инди', 'Side Scroller', 'Great Soundtrack', 'Псевдотрёхмерность', 'Interactive story', 'steam-trading-cards', 'Lovecraftian', 'Drawing / painting', 'Steam Achievements', '2D', 'Adventure', 'Captions available', 'Choices Matter', 'overlay', 'Scary', 'Atmospheric', 'Fantastic', 'Атмосфера', 'Weird', 'Thriller', 'Female Protagonist', 'Отличный саундтрек', 'Walking Simulator', 'Триллер', 'Mystery', 'Story choices', 'Нелинейность', 'Решения с последствиями', 'Женщина-протагонист', 'Для одного игрока', 'Лавкрафт']",295.0,2016-01-14,3.91,916.0,https://media.rawg.io/media/games/7ba/7baf4663962bad7197e2470d59a6e322.jpg,True
Adventure,13900,Stray,"Stray is an adventure game for the Nintendo Switch. It is ranked #741 on the all-time Top Rated Switch games,  with a total of 7 reviews  and an average score of 8.11.","['Full controller support', 'Научная фантастика', 'Cute', 'Головоломка', 'Приключение', 'От третьего лица', 'Цветастая', 'Тайна', 'Open World', 'Third Person', 'Dystopian', 'exclusive', 'No tags', 'cats', 'Cyberpunk', 'Steam Cloud', 'Exploration', 'Horror', 'Милая', 'Sci-fi', 'Singleplayer', 'Remote Play on TV', 'Инди', 'Киберпанк', 'Robots', 'Steam Achievements', 'Colorful', 'Котики', 'Steam Trading Cards', 'Atmospheric', 'Beautiful', 'Роботы', 'Атмосферная', 'Экшен', 'Красивая', 'Mystery', 'Открытый мир', 'Stealth', 'Стелс', 'Антиутопия', 'Для одного игрока', 'Исследования']",452638.0,2022-07-19,4.16,1163.0,https://media.rawg.io/media/games/cd3/cd3c9c7d3e95cb1608fd6250f1b90b7a.jpg,True
Adventure,2949,Omen Exitio: Plague,"Omen Exitio: Plague is an adventure game for the Nintendo Switch. It is ranked #791 on the all-time Top Rated Switch games,  with a total of 3 reviews  and an average score of 8.07.","['Текстовая игра', 'Приключение', 'Тайна', 'Kickstarter', 'Story Rich', 'Глубокий сюжет', 'Текстовая', 'Choose Your Own Adventure', 'Фэнтези', 'Interactive Fiction', 'Steam Cloud', 'Повествование', 'Horror', 'Text-based adventure', 'Singleplayer', 'Инди', 'Text-Based', 'Мрачная', 'Свобода выбора', 'Lovecraftian', 'Steam Achievements', 'Adventure', 'Ролевая игра', 'role-playing', 'Choices Matter', 'Fantastic', 'Атмосфера', 'Готика', 'Story choices', 'Тёмное фэнтези', 'Решения с последствиями', 'Казуальная игра', 'Для одного игрока', 'Лавкрафт']",64073.0,2018-03-05,0.0,4.0,https://media.rawg.io/media/screenshots/3e3/3e34bf51f88cbf6c92a0c9a7a5baa163.jpg,True
Adventure,12381,"Little Kitty, Big City","Little Kitty, Big City is an adventure game for the Nintendo Switch. It is ranked #838 on the all-time Top Rated Switch games,  with a total of 7 reviews  and an average score of 8.03.","['Full controller support', 'Нелинейная', 'Cute', '3D', 'Приключение', 'Цветастая', 'Stylized', 'Open World', 'No tags', 'cats', 'Уютная', 'Смешная', 'Steam Cloud', 'Cartoony', 'Exploration', 'Душевная', 'Милая', 'Симулятор', 'Singleplayer', 'Юмор', 'Инди', 'Steam Achievements', '3D Platformer', 'Comedy', 'Cozy', 'Colorful', 'Котики', 'Песочница', 'Family Friendly', 'Sandbox', 'Family Sharing', 'wholesome', 'Исследования', 'Мультипликация', 'Открытый мир', 'Nonlinear', '3D-платформер', 'Для одного игрока', 'Funny', 'Дети', 'Стилизация']",962381.0,2024-05-09,3.92,37.0,https://media.rawg.io/media/games/c11/c119d11961d785498ccb8e1ed9b006ca.jpg,True
Adventure,1493,A Case of Distrust,"A Case of Distrust is an adventure game for the Nintendo Switch. It is ranked #866 on the all-time Top Rated Switch games,  with a total of 5 reviews  and an average score of 8.00.","['Текстовая игра', 'Detective', 'Приключение', 'Тайна', 'Динамические повествование', 'Управление мышью', 'Point & Click', 'No tags', 'Глубокий сюжет', 'indiecade', 'Повествование', 'Singleplayer', 'Инди', 'Свобода выбора', 'Детектив', 'Female Protagonist', 'Нуар', 'indiecade-2017', 'Mystery', 'Женщина-протагонист', 'Для одного игрока', 'История', 'Расследование']",47379.0,2018-02-08,3.06,17.0,https://media.rawg.io/media/games/ff7/ff7f76ba6afbe575f89a13e7aac4d08e.jpg,True
Adventure,7006,Life is Strange: True Colors,"Life is Strange: True Colors is an adventure game for the Nintendo Switch. It is ranked #866 on the all-time Top Rated Switch games,  with a total of 4 reviews  and an average score of 8.00.","['Для взрослых', 'Supernatural', 'Full controller support', 'Приключение', 'От третьего лица', 'Тайна', 'Кинематографичная', 'Multiple Endings', 'Stylized', 'Drama', 'character', 'Romance', 'Mature / adults', 'Third Person', 'friendship', 'Story Rich', 'Глубокий сюжет', 'Выбери себе приключение', 'Choose Your Own Adventure', 'Steam Cloud', 'Протагонистка', 'Повествование', 'Cinematic', 'Сверхъестественное', 'Singleplayer', 'Драма', 'Interactive story', 'death', 'Steam Achievements', 'Adventure', 'console', 'Steam Trading Cards', 'offline', 'Choices Matter', 'Mature', 'LGBTQ+', 'secrets', 'Narrative', 'Atmospheric', 'Fantastic', 'Атмосферная', 'ЛГБТК+', 'Экшен', 'Female Protagonist', 'Несколько концовок', 'Романтика', 'Mystery', 'future', 'Story choices', 'Эмоциональная', 'Emotional', 'Решения с последствиями', 'Для одного игрока', 'Стилизация']",573123.0,2021-09-10,3.81,390.0,https://media.rawg.io/media/games/278/2784fe67065c5095411f0d4c85205143.jpg,True
Adventure,415,OPUS: The Day We Found Earth,"OPUS: The Day We Found Earth is an adventure game for the Nintendo Switch. It is ranked #866 on the all-time Top Rated Switch games,  with a total of 3 reviews  and an average score of 8.00. It is part of the OPUS series.","['Научная фантастика', 'Cute', 'Головоломка', 'Partial Controller Support', 'Narration', 'Приключение', 'Исследование', 'Космос', 'Story Rich', 'Глубокий сюжет', 'Space', 'Exploration', 'Повествование', 'Милая', 'Sci-fi', 'Визуальная новелла', 'Singleplayer', 'Инди', 'Great Soundtrack', 'Interactive story', 'steam-trading-cards', 'Robots', 'Steam Achievements', 'Science Fiction', 'Adventure', 'Visual Novel', 'Atmospheric', 'Атмосфера', 'Роботы', 'Steam Leaderboards', 'Отличный саундтрек', 'nature', 'Emotional']",3000.0,2015-10-22,3.13,15.0,https://media.rawg.io/media/screenshots/e0f/e0f835e31b98fdb24f85b804f51a4f23.jpeg,True
Adventure,8917,Once Upon a Jester,"Once Upon a Jester is an adventure game for the Nintendo Switch. It is ranked #984 on the all-time Top Rated Switch games,  with a total of 8 reviews  and an average score of 7.94.","['Full controller support', 'Вид сбоку', 'Интерактивная литература', 'Cute', 'Приключение', 'Кинематографичная', 'Drama', 'Story Rich', 'Глубокий сюжет', 'Выбери себе приключение', 'Смешная', 'Choose Your Own Adventure', 'Interactive Fiction', 'Милая', 'Приключенческий экшен', 'Cinematic', 'Singleplayer', 'Юмор', 'Драма', 'Инди', 'Side Scroller', 'Interactive story', 'Платформер', 'Drawing / painting', '2D', 'Comedy', 'Adventure', 'Саундтрек', 'Fantastic', 'Dynamic Narration', 'Music', 'Динамическое повествование', 'Replay Value', 'Реиграбельность', 'Музыка', 'Action-Adventure', 'Soundtrack', 'Story choices', 'Казуальная игра', 'Для одного игрока', 'Funny']",816467.0,2022-11-09,0.0,3.0,https://media.rawg.io/media/screenshots/615/6156d22a8f699b3c980ebccd5d6a1072.jpg,True
Adventure,6285,Haven Park,"Haven Park is an adventure game for the Nintendo Switch. It is ranked #1021 on the all-time Top Rated Switch games,  with a total of 10 reviews  and an average score of 7.92.","['Full controller support', 'Cute', 'Симулятор ходьбы', 'Feel Good', '3D', 'Казуальная игра', 'Приключение', 'От третьего лица', 'Цветастая', 'Short', 'Open World', 'Third Person', 'Природа', 'Relaxing', 'Строительство базы', 'Смешная', 'Steam Cloud', 'Exploration', 'Милая', 'Короткая', 'Management', 'Singleplayer', 'Инди', 'Для всей семьи', 'Steam Achievements', 'Adventure', 'Colorful', 'Ролевая игра', 'Top-Down', 'Family Friendly', 'Building', 'RPG', 'Base Building', 'Walking Simulator', 'Исследования', 'Открытый мир', 'Cartoon / comics', 'Расслабляющая', 'Менеджмент', 'nature', 'Строительство', 'Walking simulator', 'Для одного игрока', 'Funny', 'Family friendly']",638647.0,2021-08-04,3.19,16.0,https://media.rawg.io/media/screenshots/691/6912cbe2a9e0aaab616688b554792e20.jpg,True
Adventure,4481,Paradise Killer,"Paradise Killer is an adventure game for the Nintendo Switch. It is ranked #1021 on the all-time Top Rated Switch games,  with a total of 13 reviews  and an average score of 7.92.","['Головоломка', 'Приключение', 'Исследование', 'Dystopian', 'Point & Click', 'Visual novel', 'Глубокий сюжет', 'Story Rich', 'Exploration', 'Визуальная новелла', 'Singleplayer', 'Нагота', 'Инди', 'Sexual Content', 'Great Soundtrack', 'Adventure', 'Visual Novel', 'Ролевая игра', 'Point-and-click', 'Atmospheric', 'Investigation', 'Fantastic', 'Атмосфера', 'RPG', 'First-Person', 'Отличный саундтрек', 'Female Protagonist', 'Nudity', 'Сексуальный контент', 'Антиутопия', 'Женщина-протагонист', 'Для одного игрока']",428966.0,2020-09-03,3.86,56.0,https://media.rawg.io/media/screenshots/9ed/9ed9f5e3c1ac7f70c778f0880a906c46.jpg,True
